,latitude,longitude
0,35.092564,-80.85913199999999
1,33.478753999999995,-111.92548400000001
2,33.478753999999995,-111.92548400000001
3,33.38449,-111.80411000000001
4,33.450262300000006,-111.718404
5,40.411302,-80.007324
6,36.120095,-115.171769
7,33.5825076235,-111.9312195007
8,33.4630705155,-112.27787686719999
9,35.2065071258,-80.8602583075
10,40.4439496,-79.9964366
11,35.974545,-114.843346
12,33.3073245,-111.7573206
13,36.023340399999995,-115.08242690000002
14,36.023340399999995,-115.08242690000002
15,36.1585666586,-115.29182115530001
16,36.0583571386,-115.27841122209999
17,33.321264500000005,-111.9116902
18,33.610428799999994,-112.24087
19,36.1721979927,-115.1156791918
20,36.0828536999,-115.15120266059999
21,36.127061,-115.24145700000001
22,36.074289,-115.08286299999999
23,36.11322,-115.17688999999999
24,36.11322,-115.17688999999999
25,36.11322,-115.17688999999999
26,36.11322,-115.17688999999999
27,36.11322,-115.17688999999999
28,36.125380799999995,-115.1959803
29,36.1125455098,-115.24261524219999
30,36.1125455098,-115.24261524219999
31,33.393119899999995,-111.7207562
32,36.115055,-115.172146
33,35.227845,-80.840053
34,36.126649,-115.225307
35,36.108999,-115.173179
36,36.121189,-115.169657
37,36.121189,-115.169657
38,36.121189,-115.169657
39,36.071933181700004,-115.1153871417
40,36.0552179,-115.2259209
41,43.13135,-89.298486
42,33.432945436,-111.9055820909
43,36.054990999999994,-115.241621
44,33.3061249,-111.86099909999999
45,36.1118765818,-115.1725530624
46,43.1831104,-89.2138433
47,33.3496406,-111.9105858
48,33.4959305,-111.92756329999999
49,33.413244,-111.87357970000001
50,33.413244,-111.87357970000001
51,33.413244,-111.87357970000001
52,33.7008135,-111.88904380000001
53,36.0701464765,-115.1738562678
54,36.1140471648,-115.132257289
55,33.3048739,-111.7561095
56,33.639101000000004,-112.06309669999999
57,33.3791835,-111.7239389
58,36.1604696,-115.28988909999998
59,35.145671,-80.82556899999999
60,35.061110299999996,-80.817254
61,40.119807,-88.2438559
62,35.170890899999996,-80.8504498
63,33.4932262,-111.93103729999999
64,33.6399444,-112.1497746
65,33.6399444,-112.1497746
66,33.6834022,-112.1162183
67,36.0627365112,-115.2236785889
68,33.2767552948,-111.7921988809
69,33.2767552948,-111.7921988809
70,33.42175,-111.805617
71,33.4664341,-112.1696754
72,36.116027100000004,-115.29441969999999
73,36.1162194,-115.1745719
74,33.6571123677,-111.92673652299999
75,33.425768306900004,-111.94042288
76,40.4388749,-79.98756230000001
77,33.503645,-111.92949499999999
78,33.2770025,-111.87533570000001
79,33.4915587,-111.9235111
80,41.1971333,-81.8871139
81,33.3937147,-111.7884277
82,36.121237,-115.17410500000001
83,36.121237,-115.17410500000001
84,33.4803042,-111.96026529999999
85,36.118117,-115.187298
86,36.118117,-115.187298
87,36.118117,-115.187298
88,33.385447,-111.68924299999999
89,36.192777899999996,-115.3005659
90,36.1099991328,-115.17429142889999
91,33.4473917315,-112.0728310466
92,35.0708159675,-80.8440170065
93,36.1245818974,-115.1675528772
94,41.309764,-81.83416899999999
95,41.3842199396,-81.7454274108
96,41.498405825700004,-81.6893222745
97,33.4671771587,-111.6824090481
98,33.4976595,-112.0134003
99,36.0243234052,-115.0628574193
100,36.144997,-115.175625
101,33.3931495,-112.1317218
102,36.124829,-115.17199099999999
103,36.124829,-115.17199099999999
104,35.294245000000004,-80.7398903
105,36.1154564,-115.1338935
106,36.1267945039,-115.2410376816
107,36.1435825,-115.20141559999999
108,33.4946842,-111.980277
109,40.313235999999996,-88.13811070000001
110,36.016493100000005,-115.1170689
111,36.113761100000005,-115.16297279999999
112,33.507982399999996,-112.047963
113,40.5059875,-80.20753509999999
114,41.62813,-81.427725
115,33.576531947199996,-111.87441848739999
116,33.3195088,-111.92658519999999
117,33.491252923699996,-112.07923793309999
118,33.6249506,-111.9759423
119,36.0123098,-115.11896229999999
120,33.4145065,-111.92372069999999
121,36.2155456,-115.2487979
122,33.630552,-112.23811
123,35.2170979,-80.8480233
124,33.498746399999995,-111.9274236
125,35.171265000000005,-80.807472
126,36.1168022203,-115.1856471948
127,33.4860746,-111.9188584
128,36.1180802326,-115.1724323608
129,36.1180802326,-115.1724323608
130,40.4290767,-79.98221269999999
131,36.100561,-115.167671
132,43.0768864,-89.38389740000001
133,33.3024257,-111.8422554
134,36.0119846411,-115.15359856190001
135,43.073005,-89.453546
136,41.499217674099995,-81.6901288927
137,33.6841926,-112.1069267
138,33.304512,-111.9853185
139,33.379207799999996,-111.8426523
140,35.117274,-80.856801
141,35.117274,-80.856801
142,36.1099462,-115.17539109999998
143,36.04806729999999,-115.2201783
144,36.0319583,-115.00912779999999
145,40.358953,-80.029218
146,33.626831376,-112.1002996485
147,33.5842283,-111.97875230000001
148,41.5001829,-81.6995108
149,33.3646658,-111.9106652
150,33.45633,-112.34042
151,33.5803476769,-112.1183645725
152,33.640772600000005,-112.07029579999998
153,33.638373266,-112.41343237459999
154,33.6191922,-111.89623759999999
155,33.3893835,-112.13421909999998
156,36.175748999999996,-115.29175500000001
157,36.1257833505,-115.1659683726
158,36.0708627333,-115.2449475957
159,33.479491457399995,-111.9107225319
160,35.2168050474,-80.8541905455
161,35.2168050474,-80.8541905455
162,35.2168050474,-80.8541905455
163,36.0994967,-115.220404
164,40.11044570000001,-88.23307259999999
165,36.1866315,-115.1552827
166,36.116436835100004,-115.1721597683
167,35.2009674,-80.84275229999999
168,33.5381649,-112.1655163
169,36.102091181300004,-115.17177836540002
170,33.2985655,-111.8775871
171,35.2286689,-80.84241
172,41.5109019,-81.6033302
173,41.3941325081,-81.6446144208
174,40.5232006,-80.0754237
175,36.1053153086,-115.1723651199
176,36.095355639699996,-115.176614273
177,36.143785799999996,-115.2266305
178,33.3111900133,-111.7438623657
179,36.1421161808,-115.17425156290001
180,43.062872,-89.308293
181,33.320005699999996,-111.8096749
182,33.6524694411,-112.18567898100001
183,33.6524694411,-112.18567898100001
184,33.5380294431,-111.90567579020001
185,33.638654200000005,-112.21935400000001
186,33.638654200000005,-112.21935400000001
187,33.304829999999995,-111.78886599999998
188,36.0539460743,-115.16901200000001
189,33.356818100000005,-111.7897728
190,40.4439496,-79.9964366
191,36.1221442,-115.1652749
192,36.1001831,-115.138668
193,36.074289,-115.08286299999999
194,36.1293693,-115.2975473
195,33.3658739,-111.9117794
196,36.11322,-115.17688999999999
197,36.11322,-115.17688999999999
198,36.11322,-115.17688999999999
199,36.11322,-115.17688999999999
200,36.11322,-115.17688999999999
201,36.11322,-115.17688999999999
202,36.11322,-115.17688999999999
203,41.510829799999996,-81.6691226
204,40.448071,-80.00383509999999
205,36.1125455098,-115.24261524219999
206,36.122689,-115.17016299999999
207,36.122689,-115.17016299999999
208,35.171873,-80.849032
209,36.2389331706,-115.18994152629999
210,36.129929100000005,-115.09362800000001
211,36.011588,-115.17534199999999
212,36.2747255482,-115.24578703579999
213,40.4410619,-79.9579981
214,33.479700699999995,-112.07329990000001
215,33.3201041,-111.74154309999999
216,33.639781,-112.071947
217,36.118399,-115.172945
218,36.1470835,-115.2982993
219,41.3900049,-81.337363
220,36.1472362714,-115.299834609
221,33.3671700568,-112.073720529
222,36.1035296,-115.1723424
223,35.02016,-80.578648
224,36.119787,-115.190605
225,43.0146904387,-89.4983652026
226,33.2324025,-111.85699850000002
227,36.1441807,-115.0628631
228,36.0701464765,-115.1738562678
229,33.304491999999996,-111.87363700000002
230,33.304491999999996,-111.87363700000002
231,36.1741636,-115.27711399999998
232,36.063677500000004,-115.2520419
233,33.2767552948,-111.7921988809
234,43.075273100000004,-89.39332009999998
235,40.5186528,-79.84338709999999
236,33.4482076863,-112.07470935180001
237,36.0208520614,-115.27738940370001
238,35.1702847,-80.850039
239,36.169353,-115.06169399999999
240,33.425768306900004,-111.94042288
241,36.1954921,-115.06261
242,33.2770025,-111.87533570000001
243,33.4915587,-111.9235111
244,36.1142773,-115.1709763
245,36.121237,-115.17410500000001
246,36.121237,-115.17410500000001
247,33.6148874,-111.8985456
248,33.6148874,-111.8985456
249,36.118117,-115.187298
250,36.118117,-115.187298
251,36.118117,-115.187298
252,36.118117,-115.187298
253,43.0565808,-89.42910959999999
254,35.0622611,-80.96219559999999
255,33.4834128,-112.0753722
256,33.4473917315,-112.0728310466
257,40.5203341,-80.2182438
258,35.2153789012,-80.8554426119
259,33.4869202,-111.9268527
260,33.4798071,-112.0911877
261,33.5839771,-111.9244875
262,41.309764,-81.83416899999999
263,36.141082700000005,-115.13646409999998
264,36.141082700000005,-115.13646409999998
265,33.5412466,-111.8765766
266,36.144997,-115.175625
267,36.0213215,-115.2443571
268,36.124829,-115.17199099999999
269,35.2231187519,-80.94038136569999
270,35.2231187519,-80.94038136569999
271,36.072644454,-115.1056980527
272,36.1267945039,-115.2410376816
273,36.1812782,-115.0994456
274,33.4942321105,-112.28811342799999
275,33.4942321105,-112.28811342799999
276,33.5084764,-112.341953
277,36.103190999999995,-115.16845500000001
278,36.113498,-115.307372
279,33.376977000000004,-112.029821
280,36.1273748593,-115.2241710499
281,36.1273748593,-115.2241710499
282,36.113761100000005,-115.16297279999999
