,cluster,date,date,state,state
,count,min,max,min,max
cluster,,,,,
-1,11385,2005-12-28 20:28:33,2018-11-14 15:28:32,AZ,WI
0,244,2018-05-08 14:11:52,2018-07-11 07:05:44,NV,NV
1,109,2018-07-25 06:24:45,2018-08-26 03:25:36,NV,NV
2,120,2017-06-10 01:14:32,2017-07-15 20:04:26,NV,NV
3,120,2018-04-03 19:46:43,2018-05-09 05:32:01,AZ,AZ
4,147,2017-12-19 19:51:44,2018-02-01 00:00:13,NV,NV
5,99,2018-03-28 07:40:38,2018-04-24 21:59:51,NV,NV
