,cluster,date,date,state,state
,count,min,max,min,max
cluster,,,,,
-1,5400,2005-12-28 20:28:33,2018-11-14 15:28:32,AZ,WI
0,342,2016-01-14 00:49:19,2016-06-08 21:01:42,AZ,AZ
1,94,2016-08-14 18:24:44,2016-10-03 07:32:22,AZ,AZ
2,2855,2016-01-16 21:18:11,2018-11-14 14:33:12,NV,NV
3,256,2015-09-20 22:48:14,2016-01-16 03:46:25,NV,NV
4,501,2014-12-08 02:26:29,2015-07-17 18:13:16,NV,TX
5,247,2015-02-18 05:39:09,2015-06-16 02:42:24,AZ,AZ
6,837,2017-01-24 22:37:19,2018-02-02 23:56:51,AZ,AZ
7,220,2014-06-05 16:43:14,2014-09-19 23:15:30,NV,NV
8,534,2018-02-03 22:06:23,2018-09-04 01:34:23,AZ,AZ
9,162,2015-07-21 16:46:23,2015-10-10 03:05:02,AZ,AZ
10,101,2015-11-19 20:12:06,2016-01-11 03:03:31,AZ,AZ
11,63,2018-09-07 16:03:36,2018-10-09 16:11:12,AZ,AZ
12,85,2014-04-22 14:15:46,2014-06-07 01:40:44,AZ,AZ
13,121,2016-11-23 04:28:31,2017-01-23 01:14:49,AZ,AZ
14,132,2015-07-19 00:01:17,2015-09-15 16:20:50,NV,NV
15,72,2016-07-10 16:09:29,2016-08-13 22:33:01,AZ,AZ
16,57,2014-12-28 16:43:39,2015-01-25 20:21:08,AZ,AZ
17,66,2013-12-25 07:46:21,2014-01-28 14:40:16,NV,NV
18,79,2018-10-12 05:06:55,2018-11-14 13:59:09,AZ,AZ
